,,,,,,,Relies on,,,,,,,,,,,,Modifies,,,,,,,,,,,
Hex,Op code,Size,Cycles,BCD +1,Repeatable,Peephole?,A,X,Y,SP,mem,N,V,B,D,I,Z,C,A,X,Y,SP,mem,N,V,B,D,I,Z,C
0x00,BRK,1,7,No,,No,,,,,,,,,,,,,,,,,,N,N,1,N,N,N,N
0x01,"ORA ($00,X)",2,6,No,Yes,Yes,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0x02,NOP #$00,2,2,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0x03,NOP,1,1,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0x04,TSB $00,2,5,No,Yes,Yes,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N
0x05,ORA $00,2,3,No,Yes,Yes,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0x06,ASL $00,2,5,No,No,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y
0x07,RMB0 $00,2,5,No,Yes,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
0x08,PHP,1,3,No,No,Yes,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
0x09,ORA #$00,2,2,No,Yes,Yes,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0x0A,ASL,1,2,No,No,Yes,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,Y
0x0B,NOP,1,1,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0x0C,TSB $0000,3,6,No,,Yes,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N
0x0D,ORA $0000,3,4,No,Yes,Yes,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0x0E,ASL $0000,3,6,No,No,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y
0x0F,"BBR0 $00,$0000",3,5,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0x10,BPL $0000,2,2,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0x11,"ORA ($00),Y",2,5,No,Yes,Yes,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0x12,ORA ($00),2,5,No,Yes,Yes,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0x13,NOP,1,1,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0x14,TRB $00,2,5,No,Yes,Yes,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N
0x15,"ORA $00,X",2,4,No,Yes,Yes,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0x16,"ASL $00,X",2,6,No,No,Yes,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y
0x17,RMB1 $00,2,5,No,Yes,Yes,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
0x18,CLC,1,2,No,Yes,Yes,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0
0x19,"ORA $0000,Y",3,4,No,Yes,Yes,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0x1A,INC,1,2,No,No,Yes,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0x1B,NOP,1,1,No,,No,,,,,,,,,,,,,,,,,,,,,,,,
0x1C,TRB $0000,3,6,No,Yes,Yes,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N
0x1D,"ORA $0000,X",3,4,No,Yes,Yes,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N
0x1E,"ASL $0000,X",3,7,No,No,Yes,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y
